,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
186,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Bourbon St. Grill,43.6551351410162,-79.3808225262395,Fast Food Restaurant
187,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,SEPHORA,43.6535272,-79.3801543,Cosmetics Shop
188,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Danish Pastry House,43.654574,-79.38074,Bakery
189,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Second Cup,43.65602745564191,-79.38057491935326,Coffee Shop
190,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
191,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Roots,43.65361341708363,-79.38024401664734,Clothing Store
192,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Red Lobster,43.656328,-79.383621,Seafood Restaurant
193,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Ethiopiques,43.65651274304155,-79.377077748846,Ethiopian Restaurant
194,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Marshalls,43.659308,-79.3824621,Department Store
195,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,HomeSense,43.6530533,-79.3794496,Furniture / Home Store
196,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Trattoria Mercatto,43.65445314470199,-79.3809741075674,Italian Restaurant
197,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,BMV Books,43.657047061091596,-79.38166061431659,Bookstore
198,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Duke's Refresher + Bar,43.65897985683036,-79.38294890507811,Bar
199,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Paramount Fine Foods,43.65502870847598,-79.38024513018975,Middle Eastern Restaurant
200,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Jack Astor's Bar & Grill,43.65601939992059,-79.38032551379719,Restaurant
201,"Garden District, Ryerson",43.6573600769043,-79.37818145751953,Tangerine Café,43.653936903308185,-79.37972202364307,Bank
